Cf Error Code,Pg Error Code,Reason,Cf Error Description
TRANSACTION_DECLINED,U28,remitter_bank_unavailable,The remitter bank or TPAP is currently unavailable. Please request the user to retry after some time.
,Y1,,
,VJ,,
,HS1,,
,HS2,,
,103,,
,5042,,
,CC8,,
,G27,,
,ALL-SITE-DOWN-FOR-ROUTE,,
TECHNICAL_FAILURE,CF29,cred_error,Transaction failed due to issues with bank credentials
TRANSACTION_DECLINED,SA,payment_not_allowed,Payment from this type of source account (cc/ppi/od) is not allowed
,5005,,
,F,,
CUSTOMER_AUTH_FAILURE,ZA,customer_decline,This transaction has been declined/cancelled by the customer
NETWORK_ERROR,ZM,invalid_pin,The customer entered an invalid pin. please request the customer to try again with the correct pin.
TRANSACTION_DECLINED,B3,restricted_account,"TPV payment was made using a non-registered bank account | Payment was made using a restricted account as per bank policy (e.g., minor account, proprietor account)."
TECHNICAL_FAILURE,CF23,remitter_bank_unavailable,Resource that you are trying to reach is currentlu unavailable. please retry after sometime.
NETWORK_ERROR,ZH,invalid_vpa,Customer has entered incorrect vpa
NETWORK_ERROR,U81,bank_offline,request session is timed out. Kindly retry after sometime.
,FAILED,,
,104,,
,UN5,,
,ZB,,
,U46,,
,DECLINED,,
TRANSACTION_DECLINED,FAILURE,unknown_error,issuer bank or payment service provider declined the transaction
,5309,,
,YI,,
TRANSACTION_DECLINED,U30,debit_failed,The remitter (customer’s) bank declined the transaction. Please request the user to try again or check with their bank.
,XH,,
,IM,,
,U80,,
,S95,,
,XS,,
TRANSACTION_DECLINED,U16,risk_threshold_exceeded,Issuer bank or payment service provider declined the transaction
CUSTOMER_CANCELLED,U67,high_response_time,Declined because of high response time from remitter bank
NETWORK_ERROR,Z9,insufficient_funds,Insufficient funds in the user’s account. please request the user to retry after adding sufficient funds.
TRANSACTION_DECLINED,Z8,per_transaction_limit_exceeded,The transaction amount exceeded the limit set by the user’s bank. please request the customer to verify this with their bank.
CUSTOMER_CANCELLED,U90,remitter_bank_unavailable,The remitter bank deemed high response time. please request the user to retry after some time.
CUSTOMER_CANCELLED,U91,acquiring_bank_unavailable,The beneficiary bank deemed high response time. please request the user to retry after some time.
CUSTOMER_CANCELLED,UT,remitter_bank_unavailable,Remitter bank is not available
,XD,,
TRANSACTION_DECLINED,U19,authentication_failure,Issuer bank or payment service provider declined the transaction
,U17,,
TRANSACTION_DECLINED,HS3,debit_failed,Issuer bank or payment service provider declined the transaction
TECHNICAL_FAILURE,CF02,api_timeout,Bank API time out
TRANSACTION_DECLINED,M16,risk_decline,Transaction declined by risk model of npci
,96,,
,CF27,,
,PM4,,
TRANSACTION_DECLINED,XV,compliance_violation,TPV payment was made using a non-registered bank account | Remitter bank declined the transaction due to a compliance violation.
,XC,,
,S97,,
,VM,,
,22,,
,YG,,
,X1,,
,IE,,
,U66,,
CUSTOMER_CANCELLED,0,request_expired,Collect request expired
,UT1,,
,CF14,,
,XW,,
,ZS,,
,ML,,
,QU,,
,ZF,,
,M3,,
,CF40,,
,102,,
,U33,,
,AE,,
,XK,,
,62,,
,T22,,
,CF01,,
,CF44,,
,U54,,
TRANSACTION_DECLINED,ZU,transaction_limit_exceeded,The transaction failed due to limit set by the customer’s bank exceeded. Please ask the customer to check with their bank.
,S93,,
,T17,,
TRANSACTION_DECLINED,DT,bank_decline,The provided account number is invalid or not found in the beneficiary bank's records.
,U86,,
,YA,,
,AA,,
,TCC|102,,
,E19,,
,U94,,
,U71,,
,A09,,
,61,,
,CF55,,
TRANSACTION_DECLINED,ZI,debit_failed,Transaction declined due to suspected fraud based on the beneficiary risk score.
,UB7,,
,VH,,
,CF21,,
,FR9,,
,15,,
,S2,,
,S96,,
,MER_058,,
,UB,,
,V1,,
,VO,,
,VF,,
,MER_050,,
,BR,,
,U93,,
,10,,
,S94,,
,O2,,
,O4,,
,UN6,,
,ZY,,
,XF,,
,V01,,
,DF,,
TRANSACTION_DECLINED,U21,auth_failure,Customer could not be authenticated for the transaction
TRANSACTION_DECLINED,U23,auth_timeout,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U25,,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U27,psp_unresponsive,issuer bank or payment service provider declined the transaction
GATEWAY_ERROR,U37,response_error,gateway infrastructure error detected
GATEWAY_ERROR,U11,credentials_missing,gateway infrastructure error detected
NETWORK_ERROR,U13,external_error,a network infrastructure error was detected
TRANSACTION_DECLINED,ND,debit_failed,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,OD,debit_failed,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,RM,invalid_mpin,issuer bank or payment service provider declined the transaction
NETWORK_ERROR,RP,debit_reversal_timeout,a network infrastructure error was detected
TRANSACTION_DECLINED,U68,credit_failed,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,ZE,psp_declined,Transaction not permitted to the customer’s UPI ID (VPA) by the PSP.
TRANSACTION_DECLINED,ZD,debit_failed,"The transaction declined by remitter (customer's) bank, please ask the customer to check with their bank before retrying."
TRANSACTION_DECLINED,XU,cutoff_time,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U89,bank_decline_throttle,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,FP,transaction_amount_limit,customer has exceeded the withdrawal amount limit
VALIDATION_FAILED,54,card_expired,the UPI ID associated with the debit card is already expired.
TRANSACTION_DECLINED,Z7,debit_limit_exceeded,Transaction frequency limit set by the remitting bank has been exceeded.
,G25,,
,43,,
,V07,,
,U09,,
